MEA_BUFFER_M,NTL_MEDIAN,NTL_REFERENCE_YEAR,QC_MODE,SUHII_MEA_R_C,SUHI_EXPORT_SCOPE,SUHI_RASTER_MODE,background_definition,city,exclude_large_water_bodies,exclude_other_ucdb_centres,large_water_min_area_km2,lulc_reference_year,mea_r_background_area_km2,mea_r_background_mean_LST_C,mea_r_background_valid_pixel_count,mea_reference_area_km2,method,min_background_valid_pixels,min_urban_valid_pixels,min_valid_months,min_valid_obs,months,output_valid_mask_area_km2,period_id,period_name,quality_flag,sensor,target_reference_area_km2,time_of_day,urban_area_km2,urban_extent_source,urban_mean_LST_C,urban_pixel_source,urban_valid_pixel_count,year
13000,3.6230699305345735,2023,moderate,1.6890366277044784,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,7.418547174953499,1032,1439.4463424789217,MEA_R,50,50,2,5,"3,4,5",1444.5947267058816,spring,Spring_MAM,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,9.107583802657977,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,4.197154596489078,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,19.445124767786155,1044,1439.4463424789217,MEA_R,50,50,2,5,"6,7,8",1444.5947267058816,summer,Summer_JJA,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,23.642279364275232,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,2.387557937331316,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,6.721565340225487,992,1439.4463424789217,MEA_R,50,50,2,5,"9,10,11",1444.5947267058816,autumn,Autumn_SON,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,9.109123277556803,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,1.9434975621335555,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,-2.3468107632979778,1042,1439.4463424789217,MEA_R,50,50,2,5,"12,1,2",1444.5947267058816,winter,Winter_DJF,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,-0.40331320116442226,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,3.7953420410752514,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,17.7076773409033,1044,1439.4463424789217,MEA_R,50,50,3,6,"6,7,8,9",1444.5947267058816,jun_sep,June_to_September,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,21.50301938197855,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,4.579088332672619,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,18.535854892966373,1041,1439.4463424789217,MEA_R,50,50,1,2,7,1444.5947267058816,july,July,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,23.114943225638992,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,4.734517213401311,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,19.565617306785214,1041,1439.4463424789217,MEA_R,50,50,1,2,8,1444.5947267058816,august,August,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,24.300134520186525,MODIS/061/MCD12Q1 LC_Type1 == 13,1080,2003
13000,3.6230699305345735,2023,moderate,2.8233597860371535,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,12.272978959611567,885,1439.4463424789217,MEA_R,50,50,1,2,9,1444.5947267058816,september,September,valid,Terra,1428.6650722455895,Night,714.3325361227947,GHS-UCDB R2024A,15.09633874564872,MODIS/061/MCD12Q1 LC_Type1 == 13,1085,2003
13000,3.6230699305345735,2023,moderate,3.286687526745961,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,21.469804917411768,1044,1439.4463424789217,MEA_R,50,50,8,20,"1,2,3,4,5,6,7,8,9,10,11,12",1444.5947267058816,annual,Annual,valid,Aqua,1428.6650722455895,Day,714.3325361227947,GHS-UCDB R2024A,24.75649244415773,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
13000,3.6230699305345735,2023,moderate,2.51731371896625,urban_background,pixel_anomaly,MEA-R background: external non-urban reference area approximately 2 × urban built-up area; pixels with VIIRS NTL <= median NTL,Milan,True,True,1,2023,683.0902263026962,25.20768151200324,1044,1439.4463424789217,MEA_R,50,50,2,5,"3,4,5",1444.5947267058816,spring,Spring_MAM,valid,Aqua,1428.6650722455895,Day,714.3325361227947,GHS-UCDB R2024A,27.72499523096949,MODIS/061/MCD12Q1 LC_Type1 == 13,1087,2003
